Wavelength_nm,Reconstructed_1,Reconstructed_2,Reconstructed_3,Reconstructed_4,Reconstructed_5,Reconstructed_6
502,6.67673304419107e-34,0.655563426724345,5.62376099461998e-27,6.9409001031453e-06,2.06835320936846e-140,1.09590588077849e-51
503,4.29027597476511e-35,0.515483227427033,5.04013849488871e-28,1.38818002062906e-05,5.955682552846e-143,3.42470587743276e-53
504,2.60809884538713e-36,0.384045111076089,4.27342105818858e-29,2.62659664709563e-05,1.62239267956561e-145,1.01249036972856e-54
505,1.49996271820891e-37,0.271088468079957,3.42788703579363e-30,4.70173970073189e-05,4.18117182630256e-148,2.83188832806306e-56
506,8.16120868287456e-39,0.181298337026487,2.60132681446548e-31,7.96235210308703e-05,1.01943057050386e-150,7.49340052163001e-58
507,4.20093635078858e-40,0.114874781986795,1.86758739536635e-32,0.000127568008490908,2.35144535664451e-153,1.87585544956002e-59
508,2.04576300371414e-41,0.0689612646102493,1.2684827070993e-33,0.000193356943826408,5.13132744698966e-156,4.4426018457452e-61
509,9.42501694452744e-43,0.0392254814715138,8.15090381276801e-35,0.00027726520434018,1.05935657880777e-158,9.95389411179886e-63
510,4.10796334019524e-44,0.0211481203989472,4.95501057460662e-36,0.000376139176058551,2.06905581798378e-161,2.10992122297225e-64
511,1.69390316392272e-45,0.0108233748184948,2.84971221216795e-37,0.000482746759641517,3.82313687130019e-164,4.23113678028141e-66
512,6.6079720825182e-47,0.00528902192719951,1.55051160720913e-38,0.000586148646015015,6.68320966680249e-167,8.02722599030216e-68
513,2.43873954262039e-48,0.00252254622465119,7.98117144916606e-40,0.000673307985461187,1.10526883923848e-169,1.44075957660155e-69
514,8.51491351274335e-50,0.00126392253676419,3.88665381086733e-41,0.000731707261017861,1.72929213623505e-172,2.44644321939248e-71
515,2.81263037399675e-51,0.000790897903148136,1.79061689738404e-42,0.000752278352117102,2.5596843156521e-175,3.9300345312286e-73
516,8.78946991873976e-53,0.000719188645933171,7.80453617651993e-44,0.000731707261017861,3.58444605243464e-178,5.9727617660948e-75
517,2.59854538352764e-54,0.000854747411462032,3.2181710077598e-45,0.000673307985461187,4.74870608030831e-181,8.58759627700761e-77
518,7.2680102068792e-56,0.00109800361494802,1.25541911893001e-46,0.000586148646015015,5.95176988611548e-184,1.16811512129826e-78
519,1.9231729915244e-57,0.00138888078168445,4.63325239523337e-48,0.000482746759641517,7.05723491095469e-187,1.50320175161816e-80
520,4.81436235282529e-59,0.00168001495037698,1.61771040894891e-49,0.000376139176058551,7.91663489554818e-190,1.83006493897578e-82
521,1.1401888711502e-60,0.00192794742009946,5.34359089582166e-51,0.00027726520434018,8.40164368640869e-193,2.10781906654357e-84
522,2.55465596174235e-62,0.00209463945307607,1.66987215494425e-52,0.000193356943826408,8.43539652405741e-196,2.29677132255805e-86
523,5.41508958256204e-64,0.00215338745653072,4.93686037887242e-54,0.000127568008490908,8.0124317993244e-199,2.36766244480587e-88
524,1.08591659498172e-65,0.0020944676604618,1.38081681586321e-55,7.96235210308703e-05,7.20013749337162e-202,2.30908231198306e-90
525,2.06017871016639e-67,0.00192729486559301,3.65375051995724e-57,4.70173970073189e-05,6.1211755377581e-205,2.1304759883506e-92
526,3.69769358651272e-69,0.00167780573366204,9.14659793962115e-59,2.62659664709563e-05,4.92318866017178e-208,1.85965110918425e-94
527,6.27876958031625e-71,0.00138182532570907,2.16936295011939e-60,1.38818002062906e-05,3.74606857714027e-211,1.53569122777952e-96
528,1.008639034361e-72,0.0010766692671058,2.12144965304332e-61,6.9409001031453e-06,2.69663749469708e-214,1.19975877170266e-98
529,1.53290272956936e-74,0.000793650163152466,7.99855610449208e-60,3.28324580886954e-06,1.836483430748e-217,8.86750750152697e-101
530,2.20399712712327e-76,0.000553469266331494,3.70132222689657e-58,1.46929365647872e-06,1.18322969476338e-220,6.20050119570993e-103
531,2.99795459456288e-78,0.000365153537158497,1.62184972135795e-56,6.22058758053675e-07,7.21221569502201e-224,4.10175415762946e-105
532,3.85795074102802e-80,0.000227916157657818,6.72842615196358e-55,2.49156266583805e-07,4.15897158616598e-227,2.56702476637086e-107
533,4.69684151169379e-82,0.000134583654795333,2.64278475470705e-53,9.44125702277385e-08,2.26892844767142e-230,1.51987576759019e-109
534,5.40969442123853e-84,7.51842932470092e-05,9.82769288006315e-52,3.38458501391821e-08,1.17104409273997e-233,8.51341341120343e-112
535,5.8946383054013e-86,3.97355771642276e-05,3.46002075629734e-50,1.147885669124e-08,5.71798873408273e-237,4.51145838866798e-114
536,6.0765795899387e-88,1.98677885820818e-05,1.15329093950859e-48,3.68306548798765e-09,2.64138035437954e-240,2.26176661398186e-116
537,5.92623432418179e-90,9.39803665579902e-06,3.63938231040823e-47,1.11798981860164e-09,1.15434650343097e-243,1.07274431734072e-118
538,5.46784316153952e-92,4.20573921221964e-06,1.08727795815063e-45,3.21058266382783e-10,4.77264399717896e-247,4.8135141900851e-121
539,4.77277409170647e-94,1.78059498148307e-06,3.07519748689209e-44,8.72263027450873e-11,1.8668072961907e-250,2.04336471938647e-123
540,3.94133462379517e-96,7.13190501926664e-07,8.23417988706957e-43,2.2419641975078e-11,6.90808287431403e-254,8.20629500352453e-126
541,3.07916767483977e-98,2.70248664712027e-07,2.08726693577354e-41,5.45164392156798e-12,2.41842814730214e-257,3.11792712308717e-128
542,2.27583603463479e-100,9.68811227582703e-08,5.00888850333316e-40,1.25413385305776e-12,8.00988791565244e-261,1.12073360711455e-130
543,1.5913518033746e-102,3.28573375954646e-08,1.13790485628618e-38,2.72946733057041e-13,2.5097894500797e-264,3.8111534100722e-133
544,1.05271068736494e-104,1.05424894987466e-08,2.44718798674802e-37,5.61991193845773e-14,7.43987673631577e-268,1.22610613826725e-135
545,6.58824079269259e-107,3.20015920454166e-09,4.98220056623522e-36,1.09470908081436e-14,2.08646830282912e-271,3.73179091344574e-138
546,3.90074441939219e-109,9.19004403496407e-10,9.60203798173624e-35,2.01736987466706e-15,5.53573692441367e-275,1.07454384161321e-140
547,2.18495817631093e-111,2.49678531023628e-10,1.75182203703222e-33,3.51714231922249e-16,1.38949406072261e-278,2.92717425255063e-143
548,1.15786082706082e-113,6.41744874911418e-11,3.02549968771677e-32,5.80112139191026e-17,3.29955632949713e-282,7.54380777822539e-146
549,5.80479910634128e-116,1.56049081889768e-11,4.94630878771674e-31,9.05214631426024e-18,7.41262447984403e-286,1.83929017667958e-148
550,2.75318647650798e-118,3.58986095115786e-12,7.65489048874332e-30,1.33631479591597e-18,1.57545517979289e-289,4.24255507987898e-151
551,1.23538311584571e-120,7.81288868296308e-13,1.12141741626044e-28,1.86630916736564e-19,3.16779964400622e-293,9.25810981115628e-154
552,5.24427304908436e-123,1.60865623454997e-13,1.55511801493541e-27,2.46590307396323e-20,6.02596991716428e-297,1.91132599450985e-156
553,2.10613657520431e-125,3.13351989702842e-14,2.04138358618249e-26,3.08237884245403e-21,1.08446068764641e-300,3.73305858302678e-159
554,8.00212562421296e-128,5.77456490744772e-15,2.5365817491624e-25,3.64513509251105e-22,1.84636801208572e-304,6.89782933231877e-162
555,2.87635046021478e-130,1.006754728824e-15,2.98355581192092e-24,4.07810911839589e-23,2.97399560320441e-308,1.20580667722808e-164
556,9.78128325537926e-133,1.66052603611412e-16,3.32184166599166e-23,4.31639972413079e-24,4.53189644008706e-312,1.99416240538736e-167
557,3.14678790096881e-135,2.59110672265968e-17,3.50091751931763e-22,4.32217224829663e-25,6.53336911221154e-316,3.12004576948709e-170
558,9.57760028179287e-138,3.82509753055229e-18,3.49254560706758e-21,4.09449255003421e-26,8.91047392274688e-320,4.61826666121339e-173
559,2.75780493573548e-140,5.34216534094731e-19,3.29806308324774e-20,3.669574425052e-27,0,6.46717550349938e-176
560,7.51256048270918e-143,7.05845642630388e-20,2.94803239060732e-19,3.11135034057307e-28,0,8.56777175235461e-179
561,1.93610995841697e-145,8.8230705328798e-21,2.49437684814801e-18,2.49574225217661e-29,0,1.07383790540821e-181
562,4.72051798266466e-148,1.04339166815378e-21,1.99778550681105e-17,1.89394842210091e-30,0,1.27328954239852e-184
563,1.08884708899866e-150,1.16732712724373e-22,1.51458420778188e-16,1.35973464807283e-31,0,1.42834531522277e-187
564,2.37608368723761e-153,1.23553596623407e-23,1.08691832270446e-15,9.23544403653353e-33,0,1.51585219704916e-190
565,4.90539711580809e-156,1.23718830653587e-24,7.38347487278748e-15,5.93442981829267e-34,0,1.52194199507157e-193
