Wavelength_nm,Reconstructed
882.503125,4.30105734476945e-14
882.5125,3.11234058764294e-14
882.521875,2.24780755965724e-14
882.53125,1.62028443205697e-14
882.540625,1.16569116429556e-14
882.55,8.37020040726184e-15
882.559375,5.99857795849069e-15
882.56875,4.29062787833361e-15
882.578125,3.06304570855704e-15
882.5875,2.18245944415276e-15
882.596875,1.55202587038759e-15
882.60625,1.10156921941327e-15
882.615625,7.80341461138285e-16
882.625,5.51718592274503e-16
882.634375,3.89323478640184e-16
882.64375,2.74197570154027e-16
882.653125,1.9274212004867e-16
882.6625,1.35222722787995e-16
882.671875,9.4685336786307e-17
882.68125,6.61722312695429e-17
882.690625,4.61560696743671e-17
882.7,3.21323022921073e-17
882.709375,2.23262015964327e-17
882.71875,1.54827394564292e-17
882.728125,1.07161979286931e-17
882.7375,7.40275874723882e-18
882.746875,5.1039499389115e-18
882.75625,3.51219926380641e-18
882.765625,2.41219166180588e-18
882.775,1.65350072787416e-18
882.784375,1.13124552511862e-18
882.79375,7.7244800270486e-19
882.803125,5.26431080838142e-19
882.8125,3.58074726396177e-19
882.821875,2.43089211316231e-19
882.83125,1.64709087363953e-19
882.840625,1.11385661463317e-19
882.85,7.51797466228708e-20
882.859375,5.06444967376402e-20
882.86875,3.40504993628403e-20
882.878125,2.2849385503286e-20
882.8875,1.53033097590889e-20
882.896875,1.02295377228598e-20
882.90625,6.82474506087135e-21
882.915625,4.5444008615575e-21
882.925,3.02013669699698e-21
882.934375,2.00325540784326e-21
882.94375,1.32619013802471e-21
882.953125,8.76264063636716e-22
882.9625,5.77861732902293e-22
882.971875,3.80340512362552e-22
882.98125,2.49850916038645e-22
882.990625,1.63813240762355e-22
883,1.07195547186292e-22
